turbine_id,operating_hours,wind_speed_ms,ambient_temp_c,wind_direction_deg,gearbox_oil_temp_c,gearbox_bearing_temp_c,generator_winding_temp_c,generator_rpm,rotor_rpm,blade_pitch_angle_deg,hydraulic_pressure_bar,active_power_kw
WTG_01,1,6.01,26.57,178.68,69.75,58.84,80.42,739.97,8.22,0.0,188.15,463.23
WTG_01,2,9.29,23.85,203.28,80.38,60.49,100.67,1127.26,12.53,0.0,190.03,1775.78
WTG_01,3,8.94,19.42,186.56,78.88,60.72,94.47,1141.28,12.68,0.0,187.59,1566.94
WTG_01,4,8.92,15.0,168.72,78.75,60.91,88.5,1140.62,12.67,0.0,187.18,1583.56
WTG_01,5,7.88,24.1,185.34,73.9,60.14,89.02,968.19,10.76,0.0,188.92,1045.08
WTG_01,6,4.41,20.26,180.98,69.83,59.29,69.07,563.99,6.27,0.0,188.43,198.39
WTG_01,7,6.62,13.81,152.56,70.82,59.77,72.24,809.19,8.99,0.0,188.11,647.06
WTG_01,8,10.49,14.41,179.12,83.13,62.62,97.37,1348.51,14.98,0.0,185.27,2000.0
WTG_01,9,9.82,17.68,187.92,81.7,60.95,99.21,1250.21,13.89,0.0,188.02,2000.0
WTG_01,10,8.72,28.53,165.62,78.78,62.04,102.59,1084.2,12.05,0.0,189.03,1463.3
WTG_01,11,9.73,21.59,171.95,82.19,61.62,103.88,1220.62,13.56,0.0,186.64,2000.0
WTG_01,12,8.1,20.9,177.36,74.87,59.91,86.14,1035.97,11.51,0.0,192.21,1149.74
WTG_01,13,6.26,21.66,171.31,69.56,58.86,76.71,779.43,8.66,0.0,186.53,544.04
WTG_01,14,6.94,22.35,196.47,73.24,58.65,81.47,866.96,9.63,0.0,190.76,735.3
WTG_01,15,13.91,10.24,170.06,81.84,62.81,94.14,1756.02,19.51,4.78,187.73,2000.0
WTG_01,16,9.54,20.05,189.75,82.15,61.18,99.46,1202.84,13.36,0.0,186.77,1893.6
WTG_01,17,11.22,20.42,170.9,82.87,62.51,102.99,1408.71,15.65,0.0,189.55,2000.0
WTG_01,18,11.18,18.82,160.15,81.0,61.65,102.32,1390.6,15.45,0.0,188.02,2000.0
WTG_01,19,7.5,14.61,194.14,74.61,60.56,78.7,953.05,10.59,0.0,188.65,922.55
WTG_01,20,8.59,17.43,152.98,76.46,60.43,89.9,1084.89,12.05,0.0,186.69,1393.6
WTG_01,21,6.6,22.42,191.61,71.85,59.94,78.97,886.73,9.85,0.0,189.16,612.79
WTG_01,22,8.93,10.25,169.49,78.73,61.04,87.7,1149.2,12.77,0.0,187.75,1581.98
WTG_01,23,8.97,18.76,191.4,77.6,60.83,93.77,1124.07,12.49,0.0,187.47,1597.46
WTG_01,24,7.81,15.56,170.2,75.61,59.69,80.79,942.57,10.47,0.0,186.17,1044.76
