planning_horizon_days,crews_available,status,scheduled_interventions,critical_repaired,total_cost_eur,solver_time_ms
7,1,HEURISTIC_SOLVED,1,1,0,17.35
7,2,HEURISTIC_SOLVED,2,2,0,16.9
7,3,HEURISTIC_SOLVED,3,3,0,18.08
7,4,HEURISTIC_SOLVED,4,4,0,17.66
14,1,HEURISTIC_SOLVED,1,1,0,18.73
14,2,HEURISTIC_SOLVED,2,2,0,19.8
14,3,HEURISTIC_SOLVED,3,3,0,17.2
14,4,HEURISTIC_SOLVED,4,4,0,19.46
21,1,HEURISTIC_SOLVED,1,1,0,16.72
21,2,HEURISTIC_SOLVED,2,2,0,17.61
21,3,HEURISTIC_SOLVED,3,3,0,17.91
21,4,HEURISTIC_SOLVED,4,4,0,17.81
30,1,HEURISTIC_SOLVED,1,1,0,18.52
30,2,HEURISTIC_SOLVED,2,2,0,19.55
30,3,HEURISTIC_SOLVED,3,3,0,16.61
30,4,HEURISTIC_SOLVED,4,4,0,18.09
